Complexity,Loss,Equation
1,2.4325652,"-0.0840368"
2,2.0140388,"cos(x4)"
3,1.7189054,"(x1 * x1)"
4,1.5533658,"cos(exp(cos(x1)))"
5,0.8352995,"(cos(x4) - cos(x1))"
7,0.106762,"((cos(x4) - cos(x1)) * 2.266704)"
9,0.03841453,"((cos(x4 / 1.1693172) - cos(x1)) * 2.6028807)"
10,4.8316907e-15,"(((x1 * x1) - 2.0) + (cos(x4) * 2.0))"
12,1.1368684e-15,"((((x1 * x1) + (cos(x4) * 2.0)) + -0.6870475) - 1.3129525)"
